x,y
338,130
430,360
374,192
439,400
280,180
25,179
114,10
114,272
461,221
415,69
66,400
271,137
273,54
254,173
87,147
172,305
223,469
135,462
212,181
129,68
289,284
350,226
36,258
158,192
287,14
429,132
75,114
151,488
172,54
8,368
102,61
22,82
234,455
322,146
184,224
194,442
484,52
235,56
237,172
489,392
65,442
314,434
264,140
7,355
477,468
46,185
221,72
199,238
132,126
308,407
307,158
490,191
104,244
246,39
36,400
426,430
87,257
175,409
132,445
205,332
380,433
287,60
60,286
495,244
384,445
258,150
304,158
495,283
219,253
446,312
311,209
158,130
132,443
32,204
298,367
210,307
312,352
41,274
144,408
149,375
221,386
177,137
6,366
79,214
296,312
400,242
423,284
176,420
459,39
139,483
462,368
114,191
476,419
300,40
94,247
419,220
448,43
246,400
416,137
370,442
80,251
112,111
452,446
81,448
293,16
260,183
51,88
334,266
200,384
107,424
385,5
384,220
439,161
19,90
466,473
395,282
30,74
370,301
49,497
384,109
360,6
243,15
348,117
152,377
348,129
303,259
223,371
412,198
113,22
148,133
290,24
254,8
294,495
37,396
482,213
103,164
102,91
279,0
309,228
181,202
182,103
336,381
261,110
235,82
298,257
280,213
366,413
268,310
364,176
431,427
466,36
76,424
12,378
233,487
118,259
153,493
230,462
240,15
0,450
194,203
170,495
43,106
40,424
72,125
487,344
333,393
303,220
370,189
365,437
154,402
416,129
15,84
195,21
352,129
352,497
217,487
490,107
487,223
257,163
193,172
179,391
204,43
167,76
46,107
353,192
91,324
55,51
277,4
151,283
10,91
7,141
223,309
297,4
308,110
62,48
43,317
11,26
95,262
79,363
10,3
147,333
497,407
405,469
276,38
66,223
73,224
102,437
376,235
177,151
23,416
203,89
137,125
33,76
41,318
157,496
281,64
349,46
378,392
176,490
70,486
148,113
180,249
63,302
64,55
488,223
423,338
125,224
207,142
143,10
33,103
190,30
346,46
282,390
383,339
278,214
340,259
65,288
67,418
299,61
211,101
409,331
231,171
261,93
137,174
32,159
449,381
220,176
24,162
482,187
408,201
231,293
37,361
149,21
381,100
276,121
434,338
470,73
314,137
300,234
213,101
493,443
343,22
334,83
487,484
73,113
475,157
114,207
215,56
398,63
103,487
403,360
349,486
386,165
491,54
143,261
57,60
482,20
434,488
290,78
318,111
90,133
392,421
438,335
119,5
142,476
205,208
46,238
229,253
148,268
392,344
319,6
109,106
240,158
182,352
297,120
460,120
413,303
467,487
439,423
2,230
318,376
73,52
451,111
30,73
279,271
148,199
104,248
378,256
266,33
348,29
320,460
330,285
184,491
428,134
381,470
322,248
326,323
226,448
311,358
161,355
195,270
88,468
75,57
63,277
1,296
379,23
477,377
120,67
293,147
455,53
15,235
73,206
48,168
444,36
271,279
37,347
67,11
371,21
220,298
223,0
327,268
253,157
97,168
438,70
90,417
390,68
333,105
400,268
354,211
6,166
497,395
424,285
76,128
258,328
260,14
250,437
338,150
140,7
2,259
60,243
279,62
439,82
94,173
284,371
380,161
415,478
242,136
485,35
361,341
2,120
182,267
191,79
402,289
448,430
88,311
497,180
348,116
236,270
441,44
162,196
120,363
217,406
370,124
86,99
32,299
209,481
15,203
168,387
81,287
331,71
193,160
437,362
480,120
221,82
338,401
18,356
383,3
321,175
24,396
409,448
444,100
170,322
260,9
53,323
81,162
128,395
18,236
477,32
366,2
114,22
188,103
468,419
173,174
346,342
91,40
428,89
22,374
328,2
364,45
444,206
111,447
401,212
232,47
223,90
52,453
283,380
249,438
453,216
301,97
427,107
42,45
290,478
121,139
297,318
187,81
45,158
90,96
84,395
377,282
499,350
346,470
140,479
389,112
360,171
16,237
380,430
179,162
98,379
142,304
13,101
217,103
54,313
380,319
199,360
289,24
8,181
269,102
213,192
489,132
208,309
349,417
217,382
392,417
308,193
85,185
397,497
138,9
35,270
471,375
388,295
35,377
407,52
191,243
459,499
55,259
337,426
461,282
434,268
130,125
38,219
468,360
231,133
345,224
323,438
71,36
238,129
114,474
108,176
51,50
397,245
243,476
232,437
67,338
460,6
37,226
203,282
400,134
384,469
77,341
265,70
69,234
368,355
443,310
302,42
175,471
121,249
215,220
226,215
466,269
230,51
143,218
404,50
211,404
389,337
452,432
28,350
468,199
63,67
421,347
348,118
381,480
397,381
46,335
316,298
155,320
82,76
474,313
360,200
11,311
194,198
333,485
308,437
128,113
382,59
465,383
67,202
74,462
98,457
417,153
299,0
347,158
252,96
235,199
377,223
357,291
175,442
191,311
128,277
286,111
145,479
36,110
168,206
4,109
233,431
307,186
475,268
186,90
469,337
398,491
444,107
491,220
311,275
356,298
460,98
209,391
46,27
89,496
219,447
469,281
429,464
465,312
162,24
390,104
51,48
168,385
298,257
467,315
282,154
437,237
419,188
293,394
107,203
470,430
48,457
430,485
435,273
84,10
5,32
268,16
71,0
314,339
347,443
450,412
254,38
150,64
147,79
220,283
114,400
76,348
175,299
384,435
330,135
233,429
75,382
237,172
134,252
431,72
459,245
398,200
39,64
412,453
196,284
387,116
334,260
470,419
419,181
458,305
287,215
417,497
232,308
150,93
259,339
439,441
232,246
264,184
414,37
215,408
246,220
187,450
85,17
3,369
186,174
410,208
289,432
241,311
76,457
384,246
136,274
403,8
90,278
187,298
376,304
490,271
380,252
482,314
435,132
498,49
262,163
57,492
444,154
31,411
290,95
169,106
474,271
370,320
101,332
453,373
214,115
119,304
491,190
23,27
268,285
499,352
215,149
144,307
410,460
169,407
101,158
43,82
76,235
257,202
126,496
345,204
429,239
0,443
492,181
17,182
327,358
270,100
434,56
277,121
398,464
459,303
243,402
293,33
292,343
26,121
306,328
312,80
416,128
269,99
225,447
12,113
69,296
199,268
470,8
411,70
334,154
15,341
141,358
352,368
37,125
14,369
186,410
51,450
247,104
259,473
372,160
172,484
78,46
91,299
384,471
388,336
289,225
461,87
313,353
56,350
467,498
196,372
153,348
11,192
25,183
363,232
142,454
261,161
66,13
181,337
441,472
282,119
180,236
490,481
161,122
138,159
299,286
495,151
346,332
250,203
230,446
220,358
434,54
448,247
19,227
121,219
85,218
409,484
70,320
392,318
70,52
379,21
367,0
431,405
338,67
5,38
353,144
391,94
140,231
108,356
218,341
378,276
222,121
55,326
143,104
187,480
85,154
159,86
62,362
386,262
60,355
406,91
314,219
176,86
325,109
226,309
178,185
351,482
247,208
468,405
193,377
430,275
362,398
193,383
367,81
487,121
319,343
99,12
316,136
375,273
59,485
402,464
489,21
47,167
475,372
378,337
218,72
367,398
344,469
325,122
404,288
260,310
307,161
210,320
498,103
35,162
308,110
347,471
69,33
5,24
260,54
116,180
73,136
435,394
310,340
39,449
340,258
56,451
174,83
397,54
132,429
496,25
94,445
32,339
97,151
168,61
366,328
388,99
51,471
392,368
20,195
104,207
497,109
69,151
25,239
60,136
325,364
170,497
75,206
304,45
491,40
132,359
42,424
293,486
481,227
195,300
499,213
195,221
50,132
168,442
332,370
173,483
192,377
25,478
169,252
346,78
293,486
196,223
253,343
320,338
486,440
14,269
292,307
238,181
55,35
152,35
174,87
291,132
145,82
409,66
333,213
175,124
304,283
45,492
398,282
86,314
401,6
416,111
386,280
64,65
371,105
43,17
359,109
316,145
470,160
494,467
313,149
409,412
154,41
294,428
65,146
470,279
320,250
438,283
126,430
146,115
459,250
333,146
428,369
218,161
363,461
333,366
427,164
182,358
454,309
71,416
12,263
136,419
493,199
439,220
120,254
21,315
429,416
321,22
248,182
204,325
204,391
276,150
384,404
110,229
307,377
114,132
487,380
94,65
401,438
346,171
182,339
279,281
455,258
127,443
318,335
53,457
107,24
263,239
10,126
68,235
80,415
55,454
63,336
475,178
178,86
112,313
391,245
121,194
74,40
310,413
451,243
398,159
47,234
129,159
440,163
4,476
295,215
474,8
221,28
29,459
16,186
491,43
141,308
178,490
196,5
261,474
345,191
226,411
247,45
31,421
468,72
359,9
380,81
280,245
378,46
271,233
249,284
451,108
476,50
174,370
160,409
474,490
158,35
93,438
167,469
127,86
431,452
171,121
416,486
408,414
166,422
7,440
338,497
228,275
262,373
301,207
369,430
449,123
170,451
394,83
280,320
479,63
422,355
85,360
138,69
159,3
309,85
176,206
331,65
199,394
293,253
349,237
438,364
406,20
66,178
147,229
76,261
484,301
254,270
72,420
286,401
180,87
277,232
455,374
345,283
431,11
19,393
29,383
91,19
33,169
30,62
237,13
426,18
432,453
83,50
114,449
84,29
124,278
295,373
249,102
166,217
31,220
204,207
98,114
458,77
162,190
276,243
414,436
45,229
365,116
328,124
114,282
167,308
394,215
166,94
464,103
239,112
411,43
358,236
214,381
104,286
135,435
373,447
403,3
469,182
354,28
227,57
168,260
314,411
354,271
463,107
215,66
239,152
385,164
8,91
337,162
129,228
189,263
251,320
55,487
145,31
464,183
326,153
333,300
324,247
218,70
94,389
328,201
175,168
69,274
211,229
4,286
336,436
94,103
237,339
382,442
210,403
297,121
150,88
446,41
79,192
204,73
68,443
120,344
487,228
122,136
7,420
430,201
229,38
385,179
143,184
151,222
459,319
276,137
382,186
247,48
409,425
117,76
407,496
344,492
370,160
66,46
324,131
427,106
316,277
38,121
122,372
192,90
355,285
333,466
449,86
276,273
421,357
161,310
415,30
337,46
145,360
317,281
20,94
167,488
70,50
422,24
150,439
165,296
286,488
291,80
283,346
7,80
35,364
122,479
358,192
345,111
230,23
377,221
412,208
398,338
103,429
90,466
347,356
194,265
118,163
234,54
187,61
401,294
471,350
436,347
147,197
5,314
225,136
131,56
98,41
352,128
238,370
143,116
132,275
188,113
71,154
159,394
268,189
240,203
298,441
115,494
488,352
6,456
167,256
161,467
266,214
430,448
391,389
192,7
307,429
359,394
319,495
27,364
270,260
325,340
64,90
138,163
131,24
427,156
320,44
44,444
330,44
287,343
466,241
412,374
11,92
368,461
83,389
51,332
169,462
120,305
108,207
221,78
181,302
161,471
96,134
255,410
373,119
144,349
354,429
191,424
94,433
382,238
342,482
68,273
62,121
107,17
235,283
184,454
66,367
123,100
480,10
269,113
82,297
281,370
328,137
14,239
272,147
132,85
242,442
63,458
381,373
292,163
210,131
117,339
363,152
15,97
313,159
119,312
5,279
98,26
364,131
363,393
114,281
23,121
118,427
220,454
216,200
204,328
440,18
288,248
135,245
241,26
210,210
494,318
418,141
481,145
406,117
476,382
264,313
79,483
276,217
78,428
252,70
285,475
97,271
215,487
417,31
291,35
440,413
146,361
21,360
143,443
84,31
263,128
104,472
324,61
205,246
87,23
53,2
398,55
215,347
310,159
22,353
102,306
475,123
294,5
85,78
199,77
390,328
447,489
185,425
359,244
16,178
429,296
150,134
87,350
284,147
139,486
456,484
366,479
47,349
184,394
17,356
204,310
271,332
192,380
279,229
384,261
196,320
293,295
467,469
327,132
445,53
120,18
22,435
444,349
124,433
300,225
472,398
74,268
87,227
31,419
305,321
441,65
40,472
245,440
39,318
439,264
392,219
499,390
379,399
423,222
253,287
95,39
46,244
372,356
259,428
48,434
122,362
239,177
237,122
58,489
440,47
404,65
103,30
362,252
133,346
459,60
411,232
326,73
16,468
46,276
237,124
63,191
91,248
390,317
210,223
423,184
323,321
276,318
9,486
231,29
357,342
305,441
241,163
180,337
490,304
409,17
497,222
488,347
200,485
128,102
234,402
375,35
155,324
426,285
384,132
449,116
1,400
106,88
32,37
469,282
78,425
476,43
347,85
433,329
131,172
410,476
30,453
489,267
321,357
410,66
136,217
271,339
67,88
476,108
77,191
285,266
194,212
210,269
429,101
174,73
116,27
408,384
47,338
202,181
127,172
17,411
258,58
27,53
247,247
383,405
384,383
160,224
255,122
265,351
406,88
125,439
374,326
193,357
461,380
297,45
248,38
414,22
277,403
74,469
431,444
188,66
412,306
194,122
256,341
6,288
206,410
134,300
300,296
339,244
485,284
278,91
415,118
16,406
100,367
120,384
242,106
334,391
188,459
312,487
410,155
293,381
469,189
103,423
103,393
429,12
493,182
24,87
104,263
367,141
197,494
486,114
448,109
303,373
1,161
191,486
350,217
460,57
267,413
70,261
311,219
431,21
378,15
295,433
335,314
419,8
358,318
90,124
169,125
322,478
350,265
197,425
86,33
261,66
9,216
341,411
359,425
117,433
325,76
181,250
367,46
238,123
52,277
143,447
367,0
204,424
147,289
351,103
134,198
377,98
9,319
101,399
351,383
488,140
430,293
273,318
302,19
204,358
186,50
449,445
383,11
129,51
390,0
214,52
266,12
30,174
330,399
62,408
412,47
147,161
342,493
311,160
337,237
422,70
136,389
407,289
94,358
119,125
63,220
227,224
466,289
81,141
33,117
168,334
43,242
96,233
280,195
7,479
490,125
80,59
111,57
366,308
365,334
64,158
93,475
74,93
36,20
431,373
1,9
496,207
426,209
271,53
432,357
473,5
475,421
41,315
357,282
199,223
65,132
51,388
336,284
498,183
313,373
499,206
182,174
100,443
499,399
99,30
115,384
447,3
381,71
193,448
335,475
298,226
81,458
63,347
144,15
370,27
363,154
33,168
203,306
345,302
429,174
481,456
357,73
17,302
336,95
344,190
60,283
241,119
122,304
346,452
345,226
261,353
332,159
408,325
397,458
360,247
141,243
115,465
20,20
348,307
9,154
318,82
392,119
37,435
344,188
495,24
136,86
340,133
456,337
121,144
486,24
308,142
495,251
418,356
437,393
227,291
243,128
399,245
343,198
360,23
155,418
94,22
245,63
87,469
315,370
447,36
152,98
248,477
344,241
206,330
192,184
103,71
274,467
393,296
353,168
239,402
114,212
66,0
166,80
132,245
352,413
36,438
483,351
11,471
157,329
203,284
496,141
125,450
457,272
225,305
156,220
184,271
87,205
445,372
275,133
138,303
162,153
323,149
450,53
229,266
326,151
429,481
182,165
350,499
13,382
350,58
375,395
124,425
216,362
185,418
382,415
37,138
241,340
492,247
473,306
62,374
255,321
90,141
151,404
357,164
221,57
417,336
113,477
464,185
57,191
97,45
363,251
5,475
369,18
129,496
380,347
379,237
183,210
200,232
395,492
38,267
457,283
5,339
95,353
207,11
402,351
381,402
142,225
483,100
430,140
184,127
468,43
473,146
321,419
198,417
162,341
77,17
356,135
190,376
31,0
290,245
222,420
56,1
312,426
393,437
366,91
