x,y
243,89
190,218
79,79
339,351
334,282
63,15
492,244
31,355
327,5
424,254
383,311
198,236
154,284
390,232
237,31
149,415
256,416
450,112
231,73
63,175
437,497
206,404
454,110
28,122
364,168
441,61
311,117
146,2
256,368
199,95
423,115
384,408
337,89
260,62
464,304
94,6
386,434
447,381
489,467
146,376
417,315
113,337
457,335
478,146
113,365
478,54
88,18
67,233
14,140
21,393
330,110
333,363
280,126
359,491
172,74
146,116
389,19
298,20
278,212
209,359
362,120
253,137
144,226
205,57
8,474
177,27
315,233
273,331
273,161
75,361
199,79
222,480
474,150
9,463
250,396
198,494
78,444
477,253
457,287
17,279
85,197
191,99
305,93
375,35
412,366
318,180
294,420
297,217
325,37
287,453
310,292
362,168
422,370
53,313
328,428
314,392
52,52
58,108
304,304
452,262
491,237
332,342
343,347
128,100
331,373
451,189
254,328
36,462
444,108
6,52
412,50
274,250
264,248
94,206
492,162
476,330
394,340
323,199
129,165
221,191
475,43
455,43
483,407
318,256
34,342
64,128
234,444
401,5
47,399
12,100
453,15
350,18
353,253
398,244
121,409
161,93
98,272
126,204
493,389
309,153
223,25
422,238
224,74
82,172
358,114
400,220
394,30
369,377
447,201
406,34
253,143
22,360
61,257
475,69
30,192
451,67
416,224
398,90
135,419
370,146
61,225
144,370
497,401
299,345
298,190
277,3
412,336
53,61
369,259
19,321
441,453
456,408
404,194
379,353
105,415
190,114
278,252
352,108
77,377
60,308
400,328
491,409
251,425
24,352
433,195
50,328
167,151
346,202
25,275
373,125
108,322
104,254
247,285
65,287
30,458
93,387
478,304
454,164
452,242
208,112
17,167
408,70
191,181
235,75
65,295
99,255
360,66
375,59
413,51
274,438
444,52
133,189
217,321
288,16
107,217
483,449
187,183
292,418
39,145
451,431
49,327
227,271
46,188
126,136
325,293
223,431
125,409
5,461
403,157
72,124
167,403
320,84
362,214
85,323
105,167
321,81
361,465
298,182
250,258
361,227
386,152
428,424
301,193
60,142
204,392
272,40
398,66
93,19
27,379
188,240
404,430
89,349
101,353
293,321
497,381
171,51
172,84
311,351
180,458
192,72
271,189
209,329
186,126
119,305
447,43
325,283
244,232
474,150
327,285
431,191
343,115
29,17
386,320
6,66
35,469
14,156
325,399
209,407
495,199
441,203
221,347
476,64
58,280
79,73
294,334
337,341
334,154
464,38
419,313
191,83
233,387
385,123
269,459
411,5
269,5
60,36
142,214
125,257
35,191
208,408
84,404
121,153
132,330
322,20
303,241
304,456
120,230
438,208
278,184
20,180
470,152
21,369
116,130
128,270
191,169
330,468
108,410
317,407
346,282
40,336
156,454
305,237
350,428
431,417
480,192
272,186
3,397
430,192
23,341
391,469
390,308
38,352
250,142
312,342
51,257
180,456
296,262
434,328
124,348
363,169
422,424
53,63
54,132
289,117
345,35
150,164
407,155
44,234
319,247
334,56
305,143
394,218
353,453
28,494
149,369
272,250
273,159
137,265
216,458
411,29
69,481
427,175
287,205
61,379
66,76
318,312
91,417
366,230
36,400
167,351
49,99
167,235
155,133
102,382
197,377
174,54
3,423
143,427
127,439
370,226
226,52
436,292
337,37
8,360
150,326
320,268
34,188
394,66
228,486
362,172
392,60
277,319
85,329
436,284
355,479
148,114
291,377
182,382
262,372
205,31
399,91
33,139
229,33
68,232
454,184
132,94
460,356
122,162
402,6
373,19
141,33
461,269
331,245
419,423
406,458
40,268
457,339
405,301
357,417
408,290
228,38
271,337
44,274
254,216
394,50
289,55
278,244
237,165
430,212
366,476
336,352
176,2
51,287
495,195
241,407
260,448
269,351
55,301
76,52
239,349
35,319
359,197
177,153
480,416
433,437
71,295
96,334
311,169
479,55
260,194
95,57
24,472
81,399
479,277
461,309
430,314
147,23
127,231
107,269
344,116
306,416
310,158
181,293
315,157
127,131
235,369
3,87
359,109
273,221
156,154
485,325
119,269
173,459
13,29
150,274
40,172
181,331
324,74
415,179
284,176
343,263
6,296
39,261
402,492
236,374
277,267
468,182
476,260
296,480
256,32
289,177
313,31
277,179
41,471
33,261
491,311
20,180
285,105
201,219
222,190
148,444
101,127
35,387
90,64
206,132
315,11
121,113
97,253
473,75
271,451
339,193
259,11
310,12
157,169
149,457
341,97
474,112
16,232
362,316
303,485
440,354
282,260
203,11
96,60
391,207
84,14
144,292
158,62
403,301
77,485
359,143
382,428
205,323
133,339
22,206
16,452
382,242
459,217
195,139
313,301
263,167
434,360
325,425
288,152
267,107
442,298
79,55
468,310
181,359
141,473
227,19
417,433
219,99
381,349
393,311
414,64
123,441
35,159
253,47
369,299
490,424
40,412
455,207
105,177
322,374
219,165
203,41
331,411
34,346
90,264
330,120
171,407
326,320
250,46
439,379
68,112
133,183
51,229
484,322
439,63
10,140
415,67
269,229
426,72
264,172
37,361
293,205
305,343
431,493
410,478
100,418
408,398
77,129
56,474
144,412
168,2
115,241
249,393
355,439
461,473
261,351
90,176
402,442
199,129
222,174
97,117
463,313
58,406
424,38
312,432
187,487
475,233
64,128
475,285
452,202
124,358
196,346
63,405
120,354
223,239
353,279
433,241
274,312
414,148
303,217
122,46
129,23
72,476
424,118
268,344
331,425
332,36
87,171
367,447
451,157
259,267
37,65
140,366
295,365
482,270
319,211
159,51
131,311
251,187
342,258
228,266
301,205
310,108
487,447
231,109
382,382
186,120
474,8
390,42
366,302
480,132
280,166
25,399
139,463
493,289
311,37
66,42
408,48
128,322
