x,y
243,72
190,417
79,92
339,92
334,277
63,92
492,277
31,154
327,360
424,271
383,354
198,379
154,121
390,457
237,36
149,202
256,269
450,237
231,98
63,356
437,134
206,159
454,389
28,321
364,223
441,430
311,146
146,471
256,273
199,374
423,66
384,179
337,204
260,109
464,443
94,31
386,99
447,60
489,396
146,425
417,246
113,470
457,210
478,295
113,142
478,141
88,37
67,320
14,23
21,110
330,291
333,184
280,215
359,26
172,255
146,237
389,266
298,187
278,483
209,150
362,437
253,338
144,383
205,22
8,145
177,434
315,316
273,178
273,212
75,494
199,368
222,231
474,125
9,212
250,353
198,235
78,231
477,376
457,372
17,450
85,68
191,378
305,218
375,14
412,201
318,381
294,263
297,196
325,166
287,448
310,15
362,193
422,265
53,484
328,271
314,61
52,343
58,43
304,227
452,57
491,76
332,429
343,182
128,245
331,386
451,158
254,381
36,319
444,379
6,89
412,345
274,361
264,399
94,359
492,485
476,187
394,85
323,292
129,346
221,82
475,12
455,482
483,88
318,361
34,213
64,403
234,129
401,178
47,140
12,57
453,0
350,375
353,224
398,477
121,120
161,388
98,133
126,307
493,450
309,184
223,312
422,95
224,263
82,339
358,31
400,317
394,333
369,358
447,216
406,173
253,252
22,131
61,230
475,138
30,401
451,400
416,69
398,341
135,366
370,221
61,246
144,7
497,114
299,104
298,129
277,348
412,17
53,110
369,326
19,358
441,144
456,223
404,261
379,446
105,222
190,449
278,79
352,61
77,298
60,485
400,249
491,268
251,428
24,353
433,424
50,189
167,130
346,95
25,424
373,408
108,37
104,199
247,148
65,164
30,395
93,78
478,323
454,425
452,169
208,149
17,40
408,171
191,326
235,318
65,402
99,74
360,295
375,138
413,138
274,469
444,73
133,468
217,140
288,483
107,212
483,460
187,430
292,341
39,288
451,284
49,466
227,242
46,473
126,497
325,270
223,346
125,296
5,422
403,294
72,67
167,72
320,259
362,69
85,320
105,102
321,244
361,318
298,411
250,23
361,228
386,293
428,369
301,354
60,311
204,57
272,255
398,361
93,84
27,414
188,259
404,105
89,80
101,212
293,62
497,174
171,300
172,149
311,226
180,479
192,225
271,174
209,488
186,149
119,62
447,314
325,150
244,161
474,215
327,124
431,312
343,126
29,80
386,239
6,21
35,384
14,121
325,72
209,104
495,140
441,192
221,118
476,161
58,341
79,310
294,401
337,166
334,413
464,463
419,238
191,378
233,446
385,380
269,400
411,486
269,490
60,467
142,491
125,308
35,174
208,453
84,255
121,40
132,205
322,175
303,460
304,341
120,431
438,287
278,333
20,87
470,237
21,232
116,489
128,123
191,100
330,357
108,287
317,410
346,249
40,139
156,279
305,410
350,377
431,424
480,317
272,215
3,120
