bucket,count
0,109
1,86
2,105
3,101
4,87
5,79
6,94
7,105
8,112
9,107
10,115
11,96
12,110
13,97
14,104
15,100
16,110
17,114
18,92
19,96
20,101
21,87
22,105
23,103
24,102
25,125
26,114
27,81
28,115
29,99
30,96
31,102
32,115
33,98
34,97
35,102
36,99
37,86
38,97
39,98
40,92
41,99
42,106
43,114
44,110
45,92
46,93
47,100
48,87
49,120
50,96
51,98
52,86
53,104
54,103
55,107
56,93
57,97
58,107
59,89
60,100
61,112
62,107
63,96
64,103
65,94
66,102
67,91
68,97
69,91
70,85
71,109
72,99
73,91
74,95
75,98
76,86
77,86
78,98
79,103
80,92
81,93
82,103
83,103
84,93
85,96
86,89
87,92
88,102
89,89
90,99
91,101
92,108
93,101
94,102
95,96
96,92
97,96
98,115
99,98
100,91
101,105
102,93
103,107
104,106
105,112
106,101
107,114
108,109
109,107
110,91
111,101
112,104
113,96
114,95
115,107
116,108
117,104
118,109
119,109
120,106
121,100
122,113
123,110
124,107
125,96
126,100
127,104
128,90
129,99
130,99
131,90
132,105
133,115
134,90
135,85
136,98
137,116
138,95
139,98
140,107
141,99
142,100
143,98
144,103
145,106
146,88
147,77
148,89
149,116
150,102
151,96
152,93
153,98
154,102
155,89
156,99
157,75
158,109
159,105
160,93
161,102
162,94
163,82
164,90
165,108
166,103
167,126
168,88
169,106
170,96
171,91
172,104
173,84
174,98
175,109
176,95
177,91
178,123
179,95
180,109
181,113
182,103
183,96
184,89
185,105
186,102
187,104
188,91
189,99
190,110
191,91
192,117
193,103
194,119
195,92
196,107
197,90
198,98
199,111
