bucket,count
0,88
1,120
2,100
3,106
4,92
5,87
6,95
7,116
8,118
9,110
10,112
11,93
12,116
13,109
14,103
15,105
16,87
17,93
18,105
19,94
20,99
21,99
22,100
23,102
24,86
25,108
26,110
27,99
28,92
29,108
30,87
31,103
32,102
33,111
34,86
35,97
36,105
37,103
38,107
39,95
40,89
41,94
42,114
43,107
44,111
45,103
46,103
47,105
48,82
49,106
50,94
51,101
52,111
53,100
54,97
55,109
56,103
57,102
58,111
59,89
60,71
61,87
62,102
63,111
64,98
65,96
66,94
67,101
68,96
69,105
70,108
71,100
72,85
73,103
74,102
75,91
76,111
77,88
78,89
79,95
80,102
81,106
82,87
83,85
84,94
85,85
86,101
87,109
88,114
89,108
90,93
91,101
92,92
93,89
94,112
95,108
96,103
97,109
98,119
99,106
100,110
101,99
102,113
103,107
104,101
105,90
106,88
107,107
108,92
109,107
110,97
111,101
112,96
113,107
114,99
115,125
116,102
117,96
118,116
119,103
120,87
121,104
122,92
123,84
124,93
125,94
126,109
127,99
128,92
129,93
130,90
131,99
132,110
133,92
134,86
135,85
136,98
137,86
138,112
139,84
140,102
141,82
142,116
143,92
144,88
145,100
146,77
147,102
148,98
149,95
150,103
151,100
152,101
153,95
154,104
155,111
156,109
157,110
158,99
159,104
160,91
161,99
162,95
163,95
164,116
165,115
166,111
167,114
168,91
169,79
170,103
171,106
172,86
173,85
174,110
175,109
176,114
177,101
178,89
179,78
180,105
181,105
182,103
183,108
184,103
185,72
186,120
187,99
188,97
189,111
190,96
191,119
192,96
193,120
194,107
195,92
196,89
197,97
198,114
199,92
