bucket,count
0,92
1,108
2,94
3,112
4,93
5,107
6,94
7,106
8,96
9,100
10,106
11,102
12,94
13,91
14,114
15,92
16,117
17,98
18,99
19,96
20,115
21,106
22,104
23,82
24,86
25,94
26,81
27,95
28,97
29,116
30,84
31,91
32,101
33,94
34,89
35,98
36,96
37,99
38,96
39,105
40,117
41,113
42,107
43,99
44,85
45,103
46,105
47,101
48,78
49,99
50,107
51,83
52,94
53,100
54,93
55,101
56,97
57,100
58,81
59,98
60,100
61,87
62,93
63,112
64,99
65,101
66,106
67,99
68,97
69,81
70,118
71,97
72,87
73,91
74,92
75,100
76,99
77,95
78,92
79,92
80,108
81,110
82,114
83,102
84,114
85,95
86,99
87,100
88,95
89,99
90,101
91,85
92,113
93,114
94,101
95,97
96,78
97,105
98,118
99,95
100,90
101,103
102,106
103,104
104,111
105,109
106,101
107,103
108,99
109,112
110,112
111,88
112,106
113,96
114,104
115,104
116,97
117,102
118,88
119,100
120,84
121,107
122,104
123,104
124,119
125,112
126,84
127,115
128,101
129,113
130,118
131,102
132,117
133,88
134,86
135,101
136,94
137,93
138,100
139,108
140,87
141,93
142,113
143,98
144,117
145,102
146,116
147,103
148,86
149,97
150,105
151,95
152,109
153,90
154,100
155,93
156,93
157,107
158,101
159,103
160,93
161,115
162,107
163,111
164,97
165,107
166,86
167,112
168,99
169,115
170,95
171,97
172,112
173,94
174,109
175,97
176,104
177,93
178,93
179,108
180,110
181,103
182,105
183,102
184,96
185,100
186,102
187,103
188,97
189,93
190,113
191,95
192,85
193,112
194,92
195,81
196,100
197,94
198,92
199,106
