bucket,count
0,89
1,98
2,104
3,92
4,95
5,86
6,89
7,116
8,101
9,97
10,111
11,114
12,102
13,99
14,138
15,82
16,111
17,103
18,93
19,109
20,90
21,84
22,96
23,100
24,75
25,111
26,117
27,103
28,108
29,93
30,93
31,100
32,95
33,93
34,94
35,110
36,104
37,91
38,105
39,97
40,102
41,109
42,93
43,101
44,100
45,103
46,87
47,107
48,101
49,88
50,108
51,107
52,87
53,92
54,97
55,100
56,102
57,106
58,111
59,112
60,98
61,107
62,107
63,95
64,87
65,99
66,101
67,121
68,87
69,87
70,97
71,114
72,121
73,112
74,88
75,91
76,104
77,114
78,102
79,90
80,104
81,97
82,109
83,104
84,93
85,97
86,107
87,99
88,110
89,111
90,120
91,103
92,111
93,104
94,95
95,125
96,90
97,104
98,106
99,100
100,86
101,87
102,95
103,92
104,94
105,115
106,89
107,78
108,102
109,90
110,125
111,115
112,93
113,87
114,90
115,89
116,102
117,90
118,110
119,87
120,81
121,97
122,110
123,98
124,90
125,82
126,117
127,96
128,85
129,107
130,102
131,99
132,99
133,109
134,108
135,92
136,112
137,105
138,97
139,108
140,81
141,107
142,113
143,117
144,96
145,102
146,97
147,89
148,107
149,120
150,102
151,101
152,88
153,106
154,82
155,86
156,95
157,91
158,98
159,112
160,98
161,87
162,86
163,108
164,87
165,95
166,98
167,105
168,100
169,112
170,97
171,107
172,85
173,100
174,108
175,88
176,98
177,101
178,98
179,108
180,110
181,109
182,111
183,98
184,96
185,110
186,100
187,89
188,88
189,115
190,98
191,96
192,109
193,95
194,110
195,97
196,100
197,94
198,104
199,93
