bucket,count
0,92
1,105
2,77
3,95
4,103
5,88
6,78
7,95
8,103
9,79
10,112
11,96
12,108
13,99
14,92
15,111
16,98
17,84
18,96
19,87
20,99
21,94
22,116
23,96
24,107
25,98
26,110
27,98
28,108
29,100
30,106
31,110
32,81
33,101
34,101
35,94
36,105
37,106
38,89
39,113
40,121
41,85
42,88
43,91
44,102
45,101
46,108
47,99
48,99
49,89
50,103
51,106
52,96
53,87
54,93
55,87
56,92
57,110
58,91
59,126
60,107
61,121
62,92
63,109
64,105
65,90
66,90
67,92
68,87
69,109
70,104
71,111
72,78
73,110
74,100
75,90
76,113
77,107
78,105
79,93
80,89
81,117
82,111
83,101
84,114
85,99
86,97
87,91
88,99
89,113
90,97
91,99
92,118
93,94
94,100
95,100
96,107
97,91
98,99
99,108
100,104
101,96
102,95
103,99
104,95
105,80
106,112
107,94
108,101
109,99
110,116
111,92
112,94
113,114
114,113
115,118
116,103
117,98
118,98
119,103
120,116
121,99
122,100
123,105
124,104
125,103
126,103
127,112
128,90
129,100
130,89
131,120
132,101
133,102
134,105
135,88
136,101
137,87
138,115
139,99
140,87
141,106
142,103
143,114
144,109
145,102
146,96
147,90
148,88
149,102
150,116
151,101
152,102
153,120
154,94
155,108
156,97
157,99
158,105
159,101
160,96
161,90
162,102
163,86
164,99
165,101
166,114
167,94
168,80
169,109
170,102
171,111
172,96
173,103
174,91
175,98
176,104
177,101
178,72
179,101
180,99
181,89
182,101
183,104
184,97
185,100
186,94
187,105
188,108
189,103
190,96
191,102
192,100
193,117
194,96
195,105
196,86
197,90
198,100
199,94
