bucket,count
0,103
1,96
2,85
3,118
4,109
5,112
6,105
7,85
8,97
9,126
10,99
11,97
12,97
13,97
14,101
15,106
16,96
17,115
18,106
19,95
20,116
21,94
22,97
23,99
24,111
25,87
26,92
27,100
28,102
29,93
30,105
31,93
32,100
33,100
34,91
35,110
36,85
37,104
38,113
39,87
40,112
41,96
42,89
43,112
44,108
45,96
46,99
47,110
48,94
49,105
50,77
51,82
52,101
53,84
54,102
55,107
56,99
57,86
58,97
59,101
60,92
61,91
62,110
63,90
64,98
65,93
66,102
67,131
68,89
69,96
70,94
71,80
72,93
73,89
74,97
75,107
76,111
77,110
78,117
79,100
80,80
81,99
82,97
83,94
84,106
85,92
86,112
87,91
88,94
89,90
90,103
91,100
92,107
93,108
94,96
95,107
96,91
97,95
98,100
99,109
100,92
101,113
102,104
103,102
104,104
105,118
106,111
107,99
108,98
109,103
110,95
111,100
112,104
113,102
114,94
115,101
116,104
117,101
118,97
119,95
120,97
121,106
122,83
123,89
124,114
125,100
126,103
127,119
128,93
129,107
130,83
131,109
132,101
133,92
134,120
135,99
136,92
137,102
138,109
139,99
140,102
141,103
142,104
143,94
144,94
145,73
146,97
147,93
148,79
149,106
150,117
151,108
152,90
153,96
154,113
155,89
156,105
157,75
158,117
159,94
160,109
161,93
162,80
163,100
164,77
165,111
166,97
167,110
168,85
169,99
170,87
171,125
172,108
173,113
174,109
175,93
176,92
177,90
178,95
179,107
180,103
181,112
182,98
183,108
184,128
185,106
186,99
187,116
188,112
189,110
190,106
191,90
192,89
193,88
194,98
195,106
196,97
197,103
198,100
199,106
