bucket,count
0,105
1,114
2,114
3,93
4,111
5,94
6,108
7,97
8,96
9,99
10,95
11,100
12,88
13,109
14,106
15,110
16,93
17,97
18,112
19,107
20,92
21,106
22,102
23,90
24,100
25,104
26,102
27,105
28,93
29,98
30,97
31,108
32,101
33,89
34,108
35,104
36,103
37,96
38,101
39,84
40,86
41,106
42,97
43,104
44,87
45,97
46,110
47,92
48,91
49,98
50,103
51,107
52,99
53,86
54,106
55,101
56,90
57,105
58,121
59,94
60,87
61,98
62,99
63,99
64,105
65,94
66,85
67,98
68,102
69,110
70,91
71,87
72,88
73,108
74,84
75,109
76,99
77,106
78,91
79,91
80,97
81,115
82,98
83,114
84,103
85,111
86,92
87,111
88,86
89,91
90,86
91,114
92,99
93,81
94,108
95,91
96,102
97,103
98,93
99,114
100,86
101,108
102,104
103,102
104,99
105,83
106,90
107,86
108,105
109,93
110,95
111,113
112,133
113,105
114,104
115,104
116,110
117,111
118,106
119,100
120,95
121,113
122,113
123,93
124,119
125,78
126,112
127,101
128,98
129,103
130,93
131,95
132,104
133,111
134,92
135,111
136,96
137,94
138,105
139,89
140,94
141,82
142,110
143,118
144,90
145,94
146,115
147,94
148,94
149,110
150,88
151,109
152,100
153,110
154,101
155,87
156,106
157,96
158,105
159,104
160,105
161,89
162,104
163,92
164,87
165,115
166,98
167,98
168,94
169,82
170,119
171,90
172,127
173,92
174,97
175,91
176,90
177,97
178,110
179,110
180,101
181,110
182,106
183,87
184,99
185,91
186,113
187,96
188,103
189,99
190,98
191,112
192,86
193,111
194,110
195,86
196,105
197,98
198,103
199,89
